Entidade,NIF,Constituição (t0),Data primeira intervervenção (t1),Total Máximo Reportado em Investimento (em t2),Total FINOVA,Nº Investidores FINOVA,Total Aumento de CS desde 1ª intervenção (t1),CS Final Intervenção (em t2),Total Aumento CS (Inv),CAE,Empresa não sediada em PT,Exit,Emissão de Valores Mobiliários,Montante,Data Emissão,Categorias de Acções,Nº de Acções Especiais,Valor nominal Acções,Nº Investidores (t2),Nº Investidores (t2) FCR´s e SCR´s,Nº Investidores (t2) Outros,Investidores 1,Investidores 2,Investidores 3,Investidores 4,Investidores 5,Investidores 6,Investidores 7,Investidores 8,Investidores 9,Investidores 10,Investidores 11,Investidores 12,Investidores 13,Investidores 14,Investidores 15,Investidores 16,Investidores 17,Investidores 18,Investidores 19,Investidores 20,Investidores 21
"COLLAB - SOLUÇÕES INFORMÁTICAS DE COMUNICAÇÃO E COLABORAÇÃO, S.A.",503476749,2006,2013,,0.00E+00,0.00,1.13E+04,6.13E+04,1.13E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,Novabase Capital,,,,,,,,,,,,,,,,,,,,
"RADICAL INNOVATION, LDA",510693792,2013,2013,1.00E+06,1.00E+06,1.00,1.00E+04,1.00E+04,8.00E+03,N - Actividades administrativas e dos serviços de apoio,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FCR Novabase Capital Inovação e Internacionalização,,,,,,,,,,,,,,,,,,,,
"BRIGHT INNOVATION, LDA",510343856,2012,2012,1.50E+06,1.50E+06,1.00,2.50E+04,2.50E+04,2.25E+04,N - Actividades administrativas e dos serviços de apoio,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,,
"POWER DATA, LDA",510731651,2013,2013,2.50E+05,2.50E+05,1.00,1.00E+04,1.00E+04,8.00E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,2.00E+00,0.00E+00,FCR Novabase Capital Inovação e Internacionalização,NOVABASE CAPITAL ­ FUNDO DE CAPITAL DE RISCO,,,,,,,,,,,,,,,,,,,
"POWERGRID, LDA",509766358,2011,2011,2.45E+06,2.45E+06,1.00,4.50E+05,4.50E+05,4.00E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,,
"SMARTGEO, SOLUTIONS, LDA",510465978,2012,2013,1.00E+05,1.00E+05,1.00,5.00E+03,5.00E+03,4.50E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,,
"CITY PULSE, LDA",513136444,2014,2014,2.50E+06,2.50E+06,1.00,1.00E+05,1.00E+05,9.00E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,,
"LIVIAN TECHNOLOGIES, LDA",513231412,2014,2014,2.50E+06,2.50E+06,1.00,1.00E+04,1.00E+04,8.00E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO-,,,,,,,,,,,,,,,,,,,,
"DTV RESEARCH, UNIPESSOAL LDA",510302262,2012,2012,2.50E+06,2.50E+06,1.00,2.00E+05,2.00E+05,1.90E+05,J - Actividades de informação e de comunicação,,"Venda, 2014",Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,,
"WIZDEE-SISTEMAS DE GESTÃO DE CONHECIMENTO, S.A.",508979366,2009,2014,7.60E+05,2.60E+05,1.00,1.51E+05,1.56E+05,9.45E+03,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"6,239,395.00",0.01,2.00E+00,2.00E+00,0.00E+00,FUNDO DE CAPITAL DE RISCO NOVABASE CAPITAL INOVAÇÃO E INTERNACIONALIZAÇÃO,FUNDO DE CAPITAL DE RISCO PORTUGAL VENTURES INTERNACIONALIZAÇÃO,,,,,,,,,,,,,,,,,,,
"FEEDZAI - CONSULTADORIA E INOVAÇÃO TECNOLÓGICA, S.A.",508771862,2008,2011,4.46E+06,4.46E+06,3.00,9.99E+04,1.51E+05,9.99E+04,J - Actividades de informação e de comunicação,"DE, USA",,Obrigações,1.05E+06,02/07/2015,Y,"9,640,327.00",0.01,5.00E+00,4.00E+00,1.00E+00,ESV inovacao & internacionalização,ESV III,FCR Novabase Capital,EDP Ventures,FCR Revitalizar Centro,,,,,,,,,,,,,,,,
"FEEDZAI, INC.",5249785,2012,2013,1.49E+07,0.00E+00,0.00,,,,Foreign Company,"DE, USA","2015, EDP, Novabase",Sem registo,0.00E+00,0,US C-corp,0.00,US C-corp,5.00E+00,1.00E+00,4.00E+00,Data Collective,Sapphire Ventures,Oak HC/FT,Capital One Growth Ventures,Es Ventures,,,,,,,,,,,,,,,,
STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.,508206383,2007,2011,2.44E+05,2.44E+05,1.00,2.07E+05,2.12E+05,1.67E+05,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"10,741,288.00",0.01,6.00E+00,2.00E+00,4.00E+00,Fundo de Capital de Risco Empreender Mais,Fundo de Capital de Risco Beta Ciências da Vida,"Pathena, SGPS, S.A.","FJR, SGPS, S.A","Daninves, SGPS, S.A.","CGC Centro de Genética Clínica e Patologia, S.A.",,,,,,,,,,,,,,,
"MATERA, LDA",508753902,2009,2011,2.50E+05,2.50E+05,1.00,2.80E+05,2.85E+05,1.85E+05,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,3.00E+00,1.00E+00,2.00E+00,FUNDO BETA CIÊNCIAS DA VIDA FCR,BIOCANT ­ ASSOCIAÇÃO DE TRANSFERÊNCIA DE TECNOLOGIA,BIOCANT VENTURES LDA,,,,,,,,,,,,,,,,,,
"EQUIGERMINAL, S.A.",509756638,2011,2012,7.20E+05,7.20E+05,3.00,6.50E+04,7.00E+04,5.13E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"65,000.00",1.00,3.00E+00,2.00E+00,1.00E+00,"A2B, SGPS",FCR ISTART I,FCR Beta Ciências,,,,,,,,,,,,,,,,,,
"TORBEL, S.A.",500695679,1977,2014,1.32E+06,1.32E+06,1.00,2.29E+05,7.29E+05,2.29E+05,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,FCR ASK Celta,,,,,,,,,,,,,,,,,,,,
"ATP- ATLÂNTICO TRADE PARTNERS - IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS ALIMENTARES, LDA",509229697,2010,2011,6.00E+05,6.00E+05,1.00,1.00E+04,2.00E+04,1.00E+04,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FCR ASK Celta,,,,,,,,,,,,,,,,,,,,
"ISA - INTELLIGENT SENSING ANYWHERE, S.A.",502448911,2010,2011,5.89E+06,5.89E+06,1.00,8.53E+05,1.65E+06,1.57E+06,"M - Actividades de consultoria, científicas, técnicas e similares",,"Cisão e redução, 2014",Alternext,2.58E+03,2013,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
"GO BIZ, VIAGENS E TURISMO, S.A.",506300072,2002,2012,2.65E+06,2.65E+06,1.00,6.00E+04,1.65E+05,6.00E+04,N - Actividades administrativas e dos serviços de apoio,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
LIVE CONTENT S.A,509034080,2009,2011,6.50E+05,6.50E+05,1.00,3.80E+05,6.19E+05,3.80E+05,J - Actividades de informação e de comunicação,,"Saida, 2014",Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
"USC INTERNACIONAL, S.A.",509928471,2011,2011,1.50E+06,1.50E+06,1.00,7.50E+05,9.67E+05,7.50E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
"CORTEX INTELLIGENCE TECNOLOGIA, LDA",509739490,2011,2012,3.00E+06,3.00E+06,1.00,1.20E+05,1.50E+05,1.20E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,1.00E+00,1.00E+00,0.00E+00,FCR Capital Criativo I,,,,,,,,,,,,,,,,,,,,
"BW - BRIDGES WORLDWIDE HOLDING, SGPS, S.A.",509985394,2011,2011,1.02E+06,1.02E+06,1.00,3.88E+06,3.88E+06,8.33E+05,K - Actividades financeiras e de seguros,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR ES Ventures Inovação & Internacionalização,,,,,,,,,,,,,,,,,,,,
"LUSOEDUC - INFORMAÇÃO E SERVIÇOS, S.A.",509061907,2009,2012,1.13E+06,1.13E+06,2.00,3.49E+05,1.16E+06,3.49E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"113,262.00",5.00,2.00E+00,1.00E+00,1.00E+00,FCR ES Ventures Inovação & Internacionalização,Busy Angels,,,,,,,,,,,,,,,,,,,
"SAKPROJECT INTERNATIONAL, S.A",510434126,2012,2012,1.28E+06,1.28E+06,3.00,7.78E+04,7.78E+04,2.78E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"5,377,777.00",0.01,3.00E+00,2.00E+00,1.00E+00,FCR ISTART I,Busy Angels,FCR ES Ventures Inovação & Internacionalização,,,,,,,,,,,,,,,,,,
"STOCK BEATS, S.A.",513037470,2014,2014,1.85E+06,1.78E+06,1.00,8.43E+04,1.84E+05,8.43E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"84,314.00",1.00,2.00E+00,1.00E+00,1.00E+00,FCR ES Ventures Inovação & Internacionalização,Pathena,,,,,,,,,,,,,,,,,,,
NUTRI VENTURES CORPORATION - NVC S.A.,509667694,2010,2010,4.99E+06,4.99E+06,4.00,2.89E+06,3.14E+06,2.89E+06,N - Actividades administrativas e dos serviços de apoio,,,Sem registo,0.00E+00,0,Y,"1,015,859.00",1.00,4.00E+00,3.00E+00,1.00E+00,FCR ES Ventures Inovação & Internacionalização,FCR PV Indústrias Criativas,FCR Portugal Ventures Internacionalização,RedStar,,,,,,,,,,,,,,,,,
"HEARTGENETICS GENETICS AND BIOTECHNOLOGY, S.A.",510575994,2013,2013,1.87E+06,1.87E+06,3.00,5.27E+04,9.66E+04,5.27E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.01,4.00E+00,4.00E+00,0.00E+00,FCR ES Ventures Inovação & Internacionalização,FCR ISTART I,ESV III,FCR Beta Ciências da Vida,,,,,,,,,,,,,,,,,
"SCIENCE4YOU, S.A.",508457467,2008,2012,2.78E+06,2.78E+06,2.00,1.03E+05,3.82E+05,1.03E+05,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Obrigações,3.00E+06,18/09/2015,N,0.00,1.00,6.00E+00,5.00E+00,1.00E+00,FCR Portugal Ventures Internacionalização,BCP Capital,FCR PV Indústrias Criativas,FCR Finicia,Docentes FCUL,FCR Global2,,,,,,,,,,,,,,,
"TUIZZI, S.A.",509820638,2011,2013,9.00E+05,9.00E+05,3.00,7.77E+04,8.37E+04,7.77E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,073,981.00",0.01,3.00E+00,2.00E+00,1.00E+00,IA - FCI - TICE,FCR PV Indústrias Criativas,Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,
"IM3DICAL, S.A.",509845061,2009,2013,7.50E+05,7.50E+05,1.00,4.13E+04,1.12E+05,4.13E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"7,369,615.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV Indústrias Criativas,Pathena,,,,,,,,,,,,,,,,,,,
"GLEAM, S.A.",510730370,2013,2013,9.40E+05,6.00E+05,1.00,4.17E+05,4.17E+05,4.17E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"216,514.00",1.00,2.00E+00,1.00E+00,1.00E+00,"FABER VENTURES, S.A.",FCR PV Indústrias Criativas,,,,,,,,,,,,,,,,,,,
"GLOBAL INPAKT, S.A.",510742971,2013,2013,2.75E+05,2.75E+05,2.00,5.57E+04,5.57E+04,5.57E+04,J - Actividades de informação e de comunicação,,"Dissolução, 2014",Sem registo,0.00E+00,0,Y,"1,571,428.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV Indústrias Criativas,PNV Capital,,,,,,,,,,,,,,,,,,,
"GETSOCIAL, S.A.",510781322,2013,2013,6.30E+05,3.15E+05,1.00,6.96E+04,6.96E+04,6.96E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,964,706.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV Indústrias Criativas,"FABER VENTURES, S.A.",,,,,,,,,,,,,,,,,,,
"GORGEOUSDETAILS, S.A. - SOCIEDADE EM LIQUIDAÇÃO",510803598,2013,2013,1.00E+06,1.00E+06,1.00,2.73E+05,7.78E+05,2.73E+05,G - Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos,,,Sem registo,0.00E+00,0,Y,"27,815,180.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR PV Indústrias Criativas,,,,,,,,,,,,,,,,,,,,
"GREENFIBER TECH, S.A.",509967400,2011,2013,1.43E+06,1.43E+06,2.00,1.27E+06,1.69E+06,1.27E+06,C - Indústrias Transformadoras,,,Emissão títulos,6.25E+05,22/04/2016,Y,"338,400.00",5.00,2.00E+00,2.00E+00,0.00E+00,FCR PV Early Stage,FCR ASK Capital,,,,,,,,,,,,,,,,,,,
STREAMBOLICO S.A.,510177026,2012,2013,1.24E+06,1.24E+06,2.00,6.18E+04,6.68E+04,2.56E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,559,178.00",0.01,2.00E+00,2.00E+00,0.00E+00,FCR PV Early Stage,Fundo de Capital de Risco Fast Change II,,,,,,,,,,,,,,,,,,,
"WHIZZTEK, S.A. - EM LIQUIDAÇÃO",510361803,2012,2014,7.50E+05,7.50E+05,1.00,1.35E+05,1.90E+05,8.76E+04,J - Actividades de informação e de comunicação,,"DISSOLUÇÃO, 31/08/2015",Sem registo,0.00E+00,0,Y,"3,522,727.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR PV Early Stage,,,,,,,,,,,,,,,,,,,,
"LIQUID DATA INTELLIGENCE, S.A.",510993834,2014,2014,7.50E+05,6.08E+05,1.00,3.38E+04,2.03E+05,3.38E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"6,750,000.00",0.01,2.00E+00,1.00E+00,1.00E+00,"FABER VENTURES, S.A.",FCR PV Early Stage,,,,,,,,,,,,,,,,,,,
FÓRMULA DA AVÓ - LDA,510077072,2012,2013,1.84E+05,1.84E+05,2.00,3.85E+03,8.85E+03,3.85E+03,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,2.00E+00,1.00E+00,1.00E+00,FCR Minho Inovação & Internacionalização,"EV Tecsaúde, SGPS, SA",,,,,,,,,,,,,,,,,,,
"SPHERE ULTRAFAST PHOTONICS, S.A.",510571514,2013,2014,8.50E+05,8.50E+05,1.00,2.33E+04,6.43E+04,2.33E+04,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,Y,"195,000.00",0.10,1.00E+00,1.00E+00,0.00E+00,FCR Minho Inovação & Internacionalização,,,,,,,,,,,,,,,,,,,,
"MOBIQUEUE, S.A.",510753884,2013,2014,1.50E+05,1.50E+05,1.00,4.40E+04,5.00E+04,4.00E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"170,000.00",0.10,1.00E+00,1.00E+00,0.00E+00,FCR Minho Inovação & Internacionalização,,,,,,,,,,,,,,,,,,,,
