Capital de Risco,Sociedade Gestora,Fundo,Dotação,Ano
Venture Capital,"ES Ventures SCR, SA",FCR ESV II,88.00,2006
Venture Capital,"ES Ventures SCR, SA",FCR ESV III,77.00,2009
Venture Capital,"ES Ventures SCR, SA",FCR ESV Inovação & Internacionalização,10.00,2011
Venture Capital,"ES Ventures SCR, SA",FCR ISTART - I,3.00,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Universitas,3.72,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Early Stages,7.17,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures ACTEC II,7.78,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Indústrias Criativas,6.00,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Turismo Inovação,6.00,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Internacionalização,14.22,2011
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Ventures Biocant,4.00,2011
Venture Capital,"Critical Ventures SCR, SA",FCR Critical Ventures I,7.00,2011
Venture Capital,"Change Partners SCR, SA",FCR Fast Change,9.00,2003
Venture Capital,"Change Partners SCR, SA",FCR Fast Change II,5.00,2011
Venture Capital,"Beta Capital SCR, SA",FCR Beta Ciências da Vida,2.50,2011
Venture Capital,"2BPARTNER SCR, SA",FCR Minho Inovação e Internacionalização,4.00,2011
Venture Capital,"ISQ SCR, SA",FCR ASK Celta,10.00,2011
Venture Capital,"ISQ SCR, SA",FCR ASK Capital,11.00,2011
Venture Capital,"Novabase Capital SCR, SA",FCR Novabase Inovação e Internacionalização,11.36,2011
Venture Capital,"Novabase Capital SCR, SA",FCR Novabase Capital,7.14,2005
Venture Capital,"Caixa Capital SCR, SA",FCR Empreender Mais,25.00,2009
Venture Capital,"Caixa Capital SCR, SA",FCR Caixa Tech Transfer Accelerator Ventures,6.00,2015
Venture Capital,"Capital Criativo SCR, SA",FCR Capital Criativo I,20.50,2011
Venture Capital,"ES Ventures SCR, SA",FCR F-HITEC,3.50,2008
Venture Capital,"Beta Capital SCR, SA",FCR Beta Early Stages,2.50,2005
Venture Capital,Pathena,Pathena SICAR,55.80,2012
Venture Capital,"Portugal Ventures SCR, SA",FCR Portugal Global Ventures,20.37,1999
Venture Capital,"Portugal Ventures SCR, SA",Portugal Ventures Global 2,23.18,2015
Venture Capital,"Portugal Ventures SCR, SA",Portugal Ventures Finicia,4.00,2007
Venture Capital,"Portugal Ventures SCR, SA",Portugal Ventures FIAEA,1.10,2011
Venture Capital,"Portugal Ventures SCR, SA",Rotação Participação Directa para fundos,30.30,2015
